IBOV - Carteira do Dia 25/01/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,479;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,209;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,658;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,145;
SBSP3;SABESP;ON      NM;340.002.999;0,916;
SANB11;SANTANDER BR;UNT;355.642.848;0,513;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,171;
CSNA3;SID NACIONAL;ON;589.695.175;0,521;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,237;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,729;
TAEE11;TAESA;UNT     N2;218.568.234;0,391;
VIVT3;TELEF BRASIL;ON;423.091.712;0,860;
TIMS3;TIM;ON      NM;808.436.195;0,464;
TOTS3;TOTVS;ON      NM;520.749.110;0,788;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,706;
USIM5;USIMINAS;PNA     N1;515.014.562;0,213;
VALE3;VALE;ON      NM;3.394.804.584;16,197;
VIIA3;VIA;ON      NM;1.576.975.642;0,198;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,863;
WEGE3;WEG;ON      NM;1.318.583.017;2,456;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,141;
Quantidade Teórica Total;;;97.076.388.170;100,000
Redutor;;;17.672.409,63521093
